Change Physical Footprint: Designator=ROT100 Old Footprint=PEC12R-4xxxF-Sxxxx-NoMod New Footprint=PEC12R-4xxxF-Sxxxx-NoMod
Change Physical Footprint: Designator=SW100 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW101 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW102 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW103 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW104 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW105 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW106 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW107 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW108 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW110 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW111 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW112 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW113 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW114 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW115 Old Footprint=MX-1U New Footprint=MX-1U
Change Physical Footprint: Designator=SW118 Old Footprint=MX-1U New Footprint=MX-1U
